uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
201409992M,ACRA,QUARTERS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-06,2014-04-06,LOCAL,230,TAMPINES STREET 24,03,136,na,524230,na,na,2026-07-31,2025-06-26,93119,na,na,55900,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410008D,ACRA,QONTORI PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-07,2014-04-07,LOCAL,2,ROSE LANE,01,02,ROSE VILLE,437384,na,na,2025-10-31,2024-11-01,62090,na,na,62011,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410029Z,ACRA,QDES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-07,2014-04-07,LOCAL,190,MIDDLE ROAD,10,08,FORTUNE CENTRE,188979,na,na,2015-11-07,na,71129,na,na,23993,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410054D,ACRA,QUASAR OFFICES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-07,2014-04-07,LOCAL,98,LORONG 1 TOA PAYOH,13,291,TOA PAYOH PALM SPRING,310098,na,na,2015-11-07,na,82199,OFFICE SUPPORT ACTIVITIES,na,na,OFFICE SUPPORT ACTIVITIES,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410058G,ACRA,QUANTUM TRAININGS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-07,2014-04-07,LOCAL,3791,JALAN BUKIT MERAH,06,15,E-CENTRE @ REDHILL,159471,na,na,2025-07-31,2024-08-02,85409,BEHAVIOURAL TRAINING SERVICES AND MOTIVATIONAL COURSE PROVIDER,na,88991,BEHAVIOURAL TRAINING SERVICES AND MOTIVATIONAL COURSE PROVIDER,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410113R,ACRA,QING SONG PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-07,2014-04-07,LOCAL,1,LORONG 22 GEYLANG,01,07,GRANDVIEW SUITES,398664,na,na,2025-07-31,2024-07-31,93111,na,na,47630,na,na,17,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410125K,ACRA,QUADRATO PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-07,2014-04-07,LOCAL,84,DAKOTA CRESCENT,04,29,WATERBANK AT DAKOTA,399948,na,na,2015-11-07,na,46900,na,na,47711,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410166M,ACRA,QUICK BOX PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-08,2014-04-08,LOCAL,304,ORCHARD ROAD,na,na,LUCKY PLAZA,238863,na,na,2015-11-08,na,52292,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410305N,ACRA,QUANTUM LEAP TECHNOLOGIES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-09,2014-04-09,LOCAL,7030,ANG MO KIO AVENUE 5,09,90,NORTHSTAR @ AMK,569880,na,na,2015-11-09,na,62011,MOBILE APPLICATION DEVELOPMENT,na,62021,MOBILE APPLICATION DEVELOPMENT,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410382D,ACRA,Q-MAX INTERNATIONAL CERTIFICATION PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-09,2014-04-09,LOCAL,539,BUKIT BATOK STREET 52,07,583,GUILIN BREEZE,650539,na,na,2015-11-09,na,70209,MANAGEMENT TRAINING & CERTIFICATION SERVICES,na,na,MANAGEMENT TRAINING & CERTIFICATION SERVICES,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410453K,ACRA,Q-PRINCIPLE ASIA PACIFIC PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-10,2014-04-10,LOCAL,16,COLLYER QUAY,17,00,COLLYER QUAY CENTRE,049318,na,na,2016-10-31,2015-07-29,70201,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410606H,ACRA,QUICK & EASY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-11,2014-04-11,LOCAL,21,BUKIT BATOK CRESCENT,15,75,WCEGA TOWER,658065,na,na,2019-10-31,2018-10-17,46309,SNACK DISTRIBUTOR,na,na,SNACK DISTRIBUTOR,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
