uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
200909844H,ACRA,XFAST PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-06-02,2009-06-02,LOCAL,1,JOO CHIAT ROAD,05,1009,JOO CHIAT COMPLEX,420001,na,na,2011-01-02,na,46900,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200909893C,ACRA,XUANZHILONG PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-06-03,2009-06-03,LOCAL,302,HOUGANG AVENUE 5,12,455,na,530302,na,na,2013-05-06,2013-02-26,64202,OTHER INVESTMENT HOLDING COMPANIES,na,70201,OTHER INVESTMENT HOLDING COMPANIES,na,4,INDOMINING,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200910049W,ACRA,XIN WAN HAO SHIPPING (S) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,2009-06-04,2009-06-04,LOCAL,200,JALAN SULTAN,03,33,TEXTILE CENTRE,199018,na,na,2012-12-31,2011-08-08,64202,na,na,na,na,na,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200910050M,ACRA,XIN CHEN GONG SHIPPING (S) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,2009-06-04,2009-06-04,LOCAL,200,JALAN SULTAN,03,33,TEXTILE CENTRE,199018,na,na,2012-12-31,2011-08-05,64202,na,na,50021,na,na,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200910051D,ACRA,XIN SHI XIAN SHIPPING (S) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,2009-06-04,2009-06-04,LOCAL,200,JALAN SULTAN,03,33,TEXTILE CENTRE,199018,na,na,2012-12-31,2011-08-08,64202,na,na,50021,na,na,11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200910438M,ACRA,X2 LAB PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2009-06-10,2009-06-10,LOCAL,55,SERANGOON NORTH AVENUE 4,04,01,S9,555859,na,na,2026-10-31,2025-06-27,46900,"INCLUDING PROFESSIONAL, SCIENTIFIC AND PRECISION EQUIPMENT",na,62011,"INCLUDING PROFESSIONAL, SCIENTIFIC AND PRECISION EQUIPMENT",na,3,X2 LABWARES,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200910664R,ACRA,XEMARCO SYSTEM PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-06-13,2009-06-13,LOCAL,21,BUKIT BATOK CRESCENT,06,81,WCEGA TOWER,658065,na,na,2014-01-31,2012-12-29,46900,na,na,27902,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200910860C,ACRA,XIN HUI ENVIRONMENTAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-06-17,2009-06-17,LOCAL,605B,MACPHERSON ROAD,08,11,na,368241,na,na,2012-01-31,2010-11-01,71124,ENVIRONMENTALLY FRIENDLY ENERGY-SAVING CAR-WASHING MACHINE,na,na,ENVIRONMENTALLY FRIENDLY ENERGY-SAVING CAR-WASHING MACHINE,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200910910M,ACRA,XTRA TRANSPORT SERVICES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-06-17,2009-06-17,LOCAL,39,GEYLANG SERAI,01,02,GEYLANG SERAI MALAY VILLAGE,409227,na,na,2011-01-17,na,52292,"TRANSPORTATION SERVICES, CHARTERED BUSES, SERVICE STATION & OTHER RELATED SVCS",na,na,"TRANSPORTATION SERVICES, CHARTERED BUSES, SERVICE STATION & OTHER RELATED SVCS",na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200911553N,ACRA,XIN HUA HOLDING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-06-26,2009-06-26,LOCAL,20,WOODLANDS LINK,06,27,na,738733,na,na,2014-01-31,2013-02-05,46549,na,na,28300,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200911780H,ACRA,XIANG YUN HAI SHIPPING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-01,2009-07-01,LOCAL,5,SHENTON WAY,18,09,UIC BUILDING,068808,na,na,2012-01-31,2010-12-10,50021,SHIPPING CHARTERING,na,52222,SHIPPING CHARTERING,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200911852G,ACRA,X-FACTOR ARTS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-01,2009-07-01,LOCAL,10A,CANBERRA DRIVE,11,19,EIGHT COURTYARDS,768143,na,na,2014-01-31,2012-12-10,46900,na,na,70201,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200912459C,ACRA,XSQUAD PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-09,2009-07-09,LOCAL,2,HANDY ROAD,03,11,THE CATHAY,229233,na,na,2011-02-09,na,47711,RETAIL AND WHOLESALES OF FASHION APPAREL,na,na,RETAIL AND WHOLESALES OF FASHION APPAREL,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200912650M,ACRA,XQIS INTERNATIONAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-13,2009-07-13,LOCAL,51,BUKIT BATOK CRESCENT,07,19,UNITY CENTRE,658077,na,na,2016-08-24,2015-05-11,46522,GENERAL TRADING,na,46544,GENERAL TRADING,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
