uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
52862774X,ACRA,XUEMEI TRADING,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,1998-02-27,1998-02-27,LOCAL,133,NEW BRIDGE ROAD,02,63,CHINATOWN POINT,059413,na,na,na,na,47742,na,na,47731,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52863309X,ACRA,XANADU SPA,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-03-06,1998-03-06,LOCAL,10,ANSON ROAD,13,01,INTERNATIONAL PLAZA,079903,na,na,na,na,96024,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52863403L,ACRA,XARA GRAPHICS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-03-09,1998-03-09,LOCAL,20,MAXWELL ROAD,07,20,MAXWELL HOUSE,069113,na,na,na,na,74192,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52863538K,ACRA,XTRIMDESIGN SYSTEM,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-03-10,1998-03-10,LOCAL,5,LORONG BAKAR BATU,04,05,MACPHERSON INDUSTRIAL COMPLEX,348742,na,na,na,na,62021,na,na,62021,na,na,1,CONRAC INFORMATION SYSTEMS,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52863768A,ACRA,X-FACTOR MEDIA,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-03-12,1998-03-12,LOCAL,40A,CARPENTER STREET,na,na,na,059919,na,na,na,na,59113,na,na,na,na,na,2,IRENE LIM PRODUCTION,IRENE LIM PRODUCTIONS,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52863779K,ACRA,X.PLORER TRADING ENTERPRISE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-03-12,1998-03-12,LOCAL,1,JOO KOON CRESCENT,na,na,na,629087,na,na,na,na,46900,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52863922J,ACRA,X'PECT STUDIO,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-03-16,1998-03-16,LOCAL,105,CLEMENTI STREET 12,01,10,SUNSET WAY RESIDENCE,120105,na,na,na,na,96021,na,na,na,na,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52863970J,ACRA,XIN QIU RENOVATION WORKS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-03-16,1998-03-16,LOCAL,26,EVERITT ROAD NORTH,na,na,na,428539,na,na,na,na,43301,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52864421A,ACRA,XING NANG GENERAL SERVICES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-03-23,1998-03-23,LOCAL,10,ANSON ROAD,16,16,INTERNATIONAL PLAZA,079903,na,na,na,na,41001,na,na,49232,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52864801B,ACRA,XIN OH INT'L TRADING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-03-27,1998-03-27,LOCAL,101F,LAVENDER STREET,na,na,na,338724,na,na,na,na,46900,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52864953A,ACRA,XIN LU IMPORT & EXPORT TRADE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,1998-03-30,1998-03-30,LOCAL,10,ANSON ROAD,33,17,INTERNATIONAL PLAZA,079903,na,na,na,na,46900,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52865196W,ACRA,XING CHUEN ENGINEERING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-04-02,1998-04-02,LOCAL,10,ANSON ROAD,10,06,INTERNATIONAL PLAZA,079903,na,na,na,na,42201,na,na,43220,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52865331L,ACRA,X-ACT DESIGN & SERVICES,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-04-03,1998-04-03,LOCAL,14A,CHEONG CHIN NAM ROAD,na,na,na,599738,na,na,na,na,18121,na,na,18129,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52865866B,ACRA,X-YOUTH HOUSE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-04-14,1998-04-14,LOCAL,865,MOUNTBATTEN ROAD,02,76,KATONG SHOPPING CENTRE,437844,na,na,na,na,47412,na,na,47414,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52866052K,ACRA,XIN LONG COMMISSION SERVICES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-04-15,1998-04-15,LOCAL,10,ANSON ROAD,15,14,INTERNATIONAL PLAZA,079903,na,na,na,na,46100,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52866089J,ACRA,XERXES SYSTEM & TRADING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-04-16,1998-04-16,LOCAL,35,SELEGIE ROAD,04,18,PARKLANE SHOPPING MALL,188307,na,na,na,na,26201,na,na,46511,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52866340B,ACRA,XIN LI YA SEA FOOD RESTAURANT,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-04-20,1998-04-20,LOCAL,558,BALESTIER ROAD,na,na,na,329874,na,na,na,na,56111,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52866448D,ACRA,XIN JIN HAO FOOD INDUSTRIES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-04-21,1998-04-21,LOCAL,170,UPPER BUKIT TIMAH ROAD,05,18,BUKIT TIMAH SHOPPING CENTRE,588179,na,na,na,na,10611,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52866491C,ACRA,XELA TECHNOLOGY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,1998-04-22,1998-04-22,LOCAL,10,UBI CRESCENT,06-,85/95,UBI TECHPARK,408564,na,na,na,na,46900,na,na,47412,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52866585E,ACRA,XIN TAT SHING JEWELLERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-04-23,1998-04-23,LOCAL,30,LOYANG WAY,07,06,na,508769,na,na,na,na,46421,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52866728M,ACRA,X-ZONIC INTERIOR DECOR,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-04-25,1998-04-25,LOCAL,10,ANSON ROAD,18,18,INTERNATIONAL PLAZA,079903,na,na,na,na,74191,na,na,43301,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52867167K,ACRA,XIONG TENG DRAGON & LION DANCE PHYSICAL TROUPE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-05-02,1998-05-02,LOCAL,3026,UBI ROAD 1,03,182,KAMPONG UBI INDUSTRIAL ESTATE,408719,na,na,na,na,90009,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52867168E,ACRA,X CARDS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-05-02,1998-05-02,LOCAL,30,EAST COAST ROAD,01,35,VILLAGE HOTEL KATONG,428751,na,na,na,na,73100,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52867170K,ACRA,XIAN SHAN ENTERPRISE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-05-02,1998-05-02,LOCAL,10,ANSON ROAD,03,09,INTERNATIONAL PLAZA,079903,na,na,na,na,86202,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52867220K,ACRA,XIN ZHONG GUO BARBER SHOP,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-05-04,1998-05-04,LOCAL,301,UBI AVENUE 1,01,271,na,400301,na,na,na,na,96021,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52867905L,ACRA,XING LONG INFORMATION TECHNOLOGY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-05-14,1998-05-14,LOCAL,10,ANSON ROAD,18,18,INTERNATIONAL PLAZA,079903,na,na,na,na,62021,na,na,62090,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52868215J,ACRA,XIN CHAO RESTAURANT,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-05-19,1998-05-19,LOCAL,160,ORCHARD ROAD,B1,02,OG ORCHARD POINT,238842,na,na,na,na,56111,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52868481K,ACRA,XIN DU CONSTRUCTION,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-05-22,1998-05-22,LOCAL,146,POTONG PASIR AVENUE 1,02,143,na,350146,na,na,na,na,41009,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52869116C,ACRA,XCERPT INTERIOR DESIGN & CONTRACTS,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-06-02,1998-06-02,LOCAL,3,IRVING ROAD,02,09,TAI SENG CENTRE,369522,na,na,na,na,74191,na,na,43301,na,na,2,XCERPT INTERIOR,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52869255X,ACRA,X-SIS A LAUREN CREATION,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,1998-06-04,1998-06-04,LOCAL,502,JURONG WEST AVENUE 1,01,827,HONG KAH COURT,640502,na,na,na,na,46900,na,na,47510,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52869717W,ACRA,XUAN YING MUSIC SCHOOL,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-06-10,1998-06-10,LOCAL,938A,UPPER SERANGOON ROAD,na,na,na,534756,na,na,na,na,85408,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52869791M,ACRA,XIN HUA CLASSICAL FURNITURE MANUFACTORY,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,1998-06-11,1998-06-11,LOCAL,3030A,UBI ROAD 3,01,107,na,408658,na,na,na,na,31001,na,na,46900,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52869865J,ACRA,XIAO D D TIPBITS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-06-12,1998-06-12,LOCAL,865,MOUNTBATTEN ROAD,B1,K125,KATONG SHOPPING CENTRE,437844,na,na,na,na,47211,na,na,47219,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52869899X,ACRA,XIN XIANG VEGETABLE & FOOD STUFF RETAILER,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-06-13,1998-06-13,LOCAL,543,UPPER SERANGOON ROAD,na,na,MONDO MANSION BUILDING,534553,na,na,na,na,46301,na,na,46302,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52870124W,ACRA,XIN FA MINI SUPER MART,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-06-17,1998-06-17,LOCAL,367,TAMPINES STREET 34,01,77,na,520367,na,na,na,na,47102,na,na,na,na,na,1,367 UP MINI-MART,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52870142L,ACRA,XINWAY CONSULTANCY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-06-17,1998-06-17,LOCAL,145A,KALLANG ROAD,na,na,na,208715,na,na,na,na,70201,na,na,46100,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52870220C,ACRA,XENZ SOLUTIONS & MARKETING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-06-18,1998-06-18,LOCAL,1,MARITIME SQUARE,10,32,HARBOURFRONT CENTRE,099253,na,na,na,na,46900,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52870268L,ACRA,XUE WEI PROVISION SHOP,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-06-19,1998-06-19,LOCAL,10,ANSON ROAD,05,16,INTERNATIONAL PLAZA,079903,na,na,na,na,47211,na,na,47102,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52870881C,ACRA,XU LIP TRADING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-06-30,1998-06-30,LOCAL,100,JALAN SULTAN,08,07,SULTAN PLAZA,199001,na,na,na,na,46415,na,na,46900,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52870955X,ACRA,X-TECH ELECTRONICS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-07-01,1998-07-01,LOCAL,111,NORTH BRIDGE ROAD,21,01,PENINSULA PLAZA,179098,na,na,na,na,46900,na,na,46592,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871089C,ACRA,XIN LU ZHOU MANAGEMENT CONSULTANCY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-07-03,1998-07-03,LOCAL,334,KRETA AYER ROAD,03,09,KRETA AYER HEIGHTS,080334,na,na,na,na,70201,na,na,47610,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871114L,ACRA,XIN YI SINGING MUSICAL CENTRE,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-07-03,1998-07-03,LOCAL,764A,UPPER SERANGOON ROAD,na,na,na,534633,na,na,na,na,85408,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871239W,ACRA,XSYSTEMS ENTREPRISE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-07-06,1998-07-06,LOCAL,3,QUEEN'S ROAD,07,157,FARRER GARDENS,260003,na,na,na,na,62021,na,na,95110,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871301M,ACRA,XENER'S TOAST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-07-07,1998-07-07,LOCAL,15,STANLEY STREET,na,na,na,068734,na,na,na,na,56112,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871367A,ACRA,XIN XIE RONG TRADING,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-07-08,1998-07-08,LOCAL,10,ANSON ROAD,05,16,INTERNATIONAL PLAZA,079903,na,na,na,na,46900,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871443X,ACRA,XIN BEE KEONG RESTAURANT,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-07-08,1998-07-08,LOCAL,5058,ANG MO KIO INDUSTRIAL PARK 2,01,1255,ANG MO KIO INDUSTRIAL PARK 2,569561,na,na,na,na,56122,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871635B,ACRA,XING HANG GLOBAL AGENCY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-07-11,1998-07-11,LOCAL,16,KALLANG PLACE,05,05,na,339156,na,na,na,na,46900,na,na,na,na,na,3,XIN HANG GLOBAL AGENCIES,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871714J,ACRA,XTREME MAINTENANCE AND SERVICES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-07-13,1998-07-13,LOCAL,610,YISHUN STREET 61,03,223,NEE SOON CENTRAL MEADOWS,760610,na,na,na,na,42101,na,na,na,na,na,3,XTREME CLEANING SERVICES,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871805C,ACRA,XING DIAMOND ENTERPRISE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-07-14,1998-07-14,LOCAL,237,JURONG EAST STREET 21,01,394,na,600237,na,na,na,na,46422,na,na,46424,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871840A,ACRA,XUANFENG TRADING,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-07-14,1998-07-14,LOCAL,20,RIPLEY CRESCENT,na,na,SERANGOON GARDEN ESTATE,556198,na,na,na,na,46900,na,na,41009,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871841W,ACRA,XING RONG WOODS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,1998-07-14,1998-07-14,LOCAL,114,TAGORE LANE,na,na,SINDO INDUSTRIAL ESTATE,787547,na,na,na,na,16291,na,na,23939,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871846X,ACRA,X-TEEN TRADING,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-07-15,1998-07-15,LOCAL,8,GRANGE ROAD,B1,11A,CATHAY CINELEISURE  ORCHARD,239695,na,na,na,na,47732,na,na,47749,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52871928M,ACRA,XIANG YI ZHI,Sole Proprietorship/ Partnership,Partnership,na,na,Live,1998-07-16,1998-07-16,LOCAL,532,CHOA CHU KANG STREET 51,01,28,LIMBANG SHOPPING CENTRE,680532,na,na,na,na,47761,na,na,46309,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52872231W,ACRA,X-PRESS MAILERS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-07-21,1998-07-21,LOCAL,10,ANSON ROAD,15,14,INTERNATIONAL PLAZA,079903,na,na,na,na,18114,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52872257C,ACRA,XIN LI-DA AIRCON AND ELECTRICAL SERVICES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-07-21,1998-07-21,LOCAL,808,FRENCH ROAD,07,163,KITCHENER COMPLEX,200808,na,na,na,na,47535,na,na,95220,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52872572J,ACRA,XING XING FASHION,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,1998-07-24,1998-07-24,LOCAL,335,SMITH STREET,01,219,CHINATOWN COMPLEX,050335,na,na,na,na,47103,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52872735D,ACRA,XTREME ENTERTAINMENT,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-07-28,1998-07-28,LOCAL,10,ANSON ROAD,18,18,INTERNATIONAL PLAZA,079903,na,na,na,na,82999,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52872961J,ACRA,X-ONE COLLECTIONS,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-07-30,1998-07-30,LOCAL,190,LORONG 6 TOA PAYOH,01,560,na,310190,na,na,na,na,47733,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873036C,ACRA,XIANG ZHENG ENTERPRISES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-07-31,1998-07-31,LOCAL,1,PARK ROAD,03,38,PEOPLE'S PARK COMPLEX,059108,na,na,na,na,46306,na,na,46424,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873197A,ACRA,XI SHI,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-08-03,1998-08-03,LOCAL,81,LOYANG WAY,na,na,na,508767,na,na,na,na,46424,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873253J,ACRA,X-TREME SALON,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-08-04,1998-08-04,LOCAL,81,MARINE PARADE CENTRAL,01,628,MARINE PARADE PROMENADE,440081,na,na,na,na,96021,na,na,47721,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873599C,ACRA,XAVIER CLEANING SERVICE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-08-11,1998-08-11,LOCAL,200,JALAN SULTAN,03,03,TEXTILE CENTRE,199018,na,na,na,na,81211,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873683C,ACRA,XIN WEN HUA PUBLISHING,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-08-12,1998-08-12,LOCAL,231,BAIN STREET,02,99,BRAS BASAH COMPLEX,180231,na,na,na,na,46474,na,na,46900,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873726X,ACRA,XIAN YUAN FORTUNES CENTRE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-08-12,1998-08-12,LOCAL,465,NORTH BRIDGE ROAD,02,5075,na,191465,na,na,na,na,96093,na,na,47742,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873756B,ACRA,XINWEI M & E SERVICES AND TRADING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-08-13,1998-08-13,LOCAL,26,KAKI BUKIT INDUSTRIAL TERRACE,na,na,na,416106,na,na,na,na,43293,na,na,28300,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873791X,ACRA,XIN ELVIN GLOBAL MARKETING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-08-13,1998-08-13,LOCAL,13,LORONG 8 TOA PAYOH,03,06,BRADDELL TECH,319261,na,na,na,na,46900,na,na,46632,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52873988C,ACRA,XDP ASIA,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-08-17,1998-08-17,LOCAL,25,WATTEN VIEW,na,na,WATTEN ESTATE,287147,na,na,na,na,70201,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52874245X,ACRA,XIANG YIXIN MANAGEMENT SERVICES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1998-08-19,1998-08-19,LOCAL,607,ANG MO KIO AVENUE 4,01,1285,na,560607,na,na,na,na,70201,na,na,82191,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52874306J,ACRA,X'CELL SERIES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1998-08-20,1998-08-20,LOCAL,124,BUKIT MERAH LANE 1,01,144,na,150124,na,na,na,na,46900,na,na,47109,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52874422D,ACRA,XTREME WASH,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-08-21,1998-08-21,LOCAL,446,HOUGANG AVENUE 8,B1,1635,na,530446,na,na,na,na,95302,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52874544A,ACRA,XIN ZHONG XING CRAFTS SUPPLIES,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1998-08-24,1998-08-24,LOCAL,1,JALAN BERSEH,02,26,NEW WORLD CENTRE,209037,na,na,na,na,46452,na,na,47742,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
52874700B,ACRA,XIAO QIAN KU BICYCLE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,1998-08-26,1998-08-26,LOCAL,84,BEDOK NORTH STREET 4,01,33,na,460084,na,na,na,na,47630,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
